Id,Review
30,"I generally love my experience at Harrah's, and get there at least once or twice a year. This last trip was very subpar, though. Had a poor room (uncomfortable, no desk or area to really sit other than beds, weird hallway, lighting not all working), and a terrible lack of winning at all in the casino... it just seems seedier and less well-kept. Maybe just hitting them at a bad time."
40,"The room exceeded our expectations. The staff was friendly and very helpful! My husband and I traveled for a weekend getaway and we enjooyed the comfort of the room, the ease of walking out of our hotel to the casino and restaurants."
50,"An all around fun place to party, gamble, relax and be entertained! Rooms are beautifully decorated and beds are nothing short of AMAZING! I would say 99% of the staff will make anyone, including LGBTQ, like myself, guests feel welcomed and comfortable!"
50,"what a place to visit, the facilities and people are great. While I was there there were many places to go and things to see. There are a great deal of sites to visit and a lot of history to take in. Great for people of all ages."
30,"our room was ok. toilet was loose- worried it was going to fall over.The room was kind of old looking. It did have a nice view from the 19th floor. lobby was pretty. casino was loaded with penny machines. wanted to play dollar machines. people in slot services were nice. there were good things, but a lot of negative. go to Maddings if you get a chance. it was great and we could use comps there 1:1. the riverwalk is nearby, and that is nice! Short walk to the French Quarter- although this trip we didn't go- just gambled, as best we could! lots to see in the city and this is a good place to stay to visit & explore."
50,This was our first time staying at Harrahs New Orleans. We had to stay at the Hilton Riverside next door for 2 nights due to Harrahs had no rooms available. The room at the Hilton was clean but not worth the $300 a night we compared it to a plain comfort inn room. When we checked into Harrahs when we both walked in the room we said this is a Anniversary Room! Much nicer and 1/2 of cost of the Hilton! It’s a Great location and comfortable beds! We highly recommend and also going to Harrahs Steak house and asking for Ruby for your waitress and A Must to go to K Paul Restaurant Awesome food and and a must ask for Shiela as your Waitress they both made our experience Awesome along with the best food we ever ate!
50,"New Orleans Harrahs is a great place to stay,Rooms are large,clean and very comfortable.Thestaff is very friendly and always welcoming.The location is close to all attractions and the casino is fun and exciting."
40,If you’re looking for a hassle free good time without the drama and attitudes check out Harrahs in N.O. The staff is helpful and friendly. Be sure to check out the buffet as well. I went with family and had a great time!
40,Like a mini Vegas. Still some room for improvements but definitely a must see and hangout for a while. Great games and friendly Staff. Wish there were more areas inside to eat though. But the buffet was pretty good.
50,Excellent service and friendly employees. The room was lovely and very clean. Room service was yummy. Might need another chair and different pillows. Was within walking distance of several attractions and never a waif for a taxi.
40,"Harrahs is an excellent place to add to the excitement of the French Quarter. After you spend all your money at the bars, come here and build up the nest egg for the next trip down Bourbon St. The rooms and the amenities are exceptional."
40,I title my trip to Harrah’s as goof. I like the fact that I have the option of ordering my drink from my machine in stead of a hope and a prayer that someone will come by to take my order. The 24/7 is convenient for all. It location is close to the interstate.
20,"Traveled in group of 3 couples-2 couples on Floor 9, 1 couple of Floor 20-staying 4 nights. All 3 couples left rooms at 8 AM following our first night and returned at 4 PM - None of the rooms had been attended to by housekeeping. Couldn't take a shower after a day of touring the city as there were no clean towels. The two couples on floor 9 complained at the front desk and they sent housekeeping - the couple on floor 20 did not go to front desk and their room was never attended to that day-They complained to the front desk the following morning. Following days were no better- apparently the housekeeping staff carries a grudge when you ask them to do their job. Following 3 days as 3 rooms experienced minimal service-they did pick up dirty towels and literally tossed clean…"
50,"Employees were top rate from the valet to the check in host to the concierge! Pillows extra comfy and pillow top bed was terrific. Keep up the great work! Casino host, Kelvin Brown was exceptional! Casino was up to date with new games."
50,The place is greatvdjcdhgg vc cggsyhb crgv ch g vvyy y y y. G d8 dbieirudu. Hdhhdjdjdhducur. Fjjfffuufuudufiririri. T t uujhrhebr ubvivudieirt. Ujrjeiiehhtbhdie rjjriugg4igbt t itiiiisvvrt tiifirueiuychd. Dhejufbr h
40,"Harrahs is an excellent place to add to the excitement of the French Quarter. After you spend all your money at the bars, come here and build up the nest egg for the next trip down Bourbon St. The rooms and the amenities are exceptional."
40,I title my trip to Harrah’s as goof. I like the fact that I have the option of ordering my drink from my machine in stead of a hope and a prayer that someone will come by to take my order. The 24/7 is convenient for all. It location is close to the interstate.
20,"Traveled in group of 3 couples-2 couples on Floor 9, 1 couple of Floor 20-staying 4 nights. All 3 couples left rooms at 8 AM following our first night and returned at 4 PM - None of the rooms had been attended to by housekeeping. Couldn't take a shower after a day of touring the city as there were no clean towels. The two couples on floor 9 complained at the front desk and they sent housekeeping - the couple on floor 20 did not go to front desk and their room was never attended to that day-They complained to the front desk the following morning. Following days were no better- apparently the housekeeping staff carries a grudge when you ask them to do their job. Following 3 days as 3 rooms experienced minimal service-they did pick up dirty towels and literally tossed clean…"
50,"Employees were top rate from the valet to the check in host to the concierge! Pillows extra comfy and pillow top bed was terrific. Keep up the great work! Casino host, Kelvin Brown was exceptional! Casino was up to date with new games."
50,The place is greatvdjcdhgg vc cggsyhb crgv ch g vvyy y y y. G d8 dbieirudu. Hdhhdjdjdhducur. Fjjfffuufuudufiririri. T t uujhrhebr ubvivudieirt. Ujrjeiiehhtbhdie rjjriugg4igbt t itiiiisvvrt tiifirueiuychd. Dhejufbr h
40,Nice room. Bar and food good Very crowded with football games Temperature was a little hot in the rooms otherwise I food experience. Need a better on floor food and drink Thanks again for a nice trip. All In all good place to stay
50,"The hotel is top of the line, but there is a fee for parking unless you're diamond or seven stars. The hotel room is decent size and they have a nice size tub separate from the shower. Hotel is quite busy and they usally have plenty of staff on duty.Very good Steak house located in the hotel, but not connected to Harrahs for points."
50,Love the atmosphere and great times we always have in New Orleans .Even if we didn't win any money we had a GREAT time. The hotel rooms are very luxurious with comfy beds...... and roomy when you have another couple in the room with you.
50,The room and the casino blew my mind. I was so impressed with the layout of the hotel and how elegant the room was I didn't want to leave. Then I went to the casino and was blow away by the layout and games there. The employees were amazing from the hotel to the casino. I didn't want to leave but believe I will be back and I will be telling everyone about my experience.
50,"Stayed at Harrahs hotel. Great hotel, connected to the casino. There are great places to drink and eat within walking distance of the hotel. Hotel right next to River Walk with some great shoping and places to eat. Good times!"
50,Thanks Harrahs for honoring comps even for one of New Orleans busiest weekends.My trip was awesome..Hilton Riverside was great.Great location to Casino and Mannings.Falcons party at Mannings was great...GoFalcons
50,Harrahs is a great place to go and gamble at but make sure you stop by at the reward center and get a reward card because the things Harrahs give away from you gambling with them is just amazing even if you’re losing you’re always a winner at Harrahs
50,Fun fun fun weekend and Harrahs experience was fantastic . A must do if you are visiting New Orleans. From the rich and delicious foods in the restaurants to the friendly and attentive wait staff. My overall experience was wonderful
20,Rooms are very nice. Food good. Good location. Close to convention center. French quarter. Arena and dome. Casino full of scammers and vagrants at night along with panhandlers. I felt unsafe and contacted security so many times they gave me their phone number! Cab drivers rude in NOLA!
40,I was unable to get a room at the Harras hotel but they found me one at the Hilton riverside hotel. that hotel within easy walking distance.The stay there was nice. In the casino the delivery of drinks was very slow.
50,We had a wonderful weekend! The front desk upgraded us to a river view at check in. It was a large clean comfortable room on a higher floor. The entire staff was very accommodating down to the last minutes of our stay with the valet crew. Would highly recommend.
50,"The hotel, valet, cleaning staff were all very friendly and professional, they welcome me as though I had a personal relations this meant a lot to me and my spouse. I would define recommend this hotel to others who are or will be visiting the NOLA are"
50,"I would Highly recommend Harrah's New Orleans. Friend and I had a great time there and are already discussing going back. The hotel and rooms were extremely clean, modern, and up to date. The room was very spacious and the bathroom had double sinks. Staff extremely friendly and helpful. Concierge was knowledgeable of local restaurants with true cajun & creole food. Location great: walking distance to bourbon street and Jackson square. Casino clean with a lot of slot machines. Main area is smoke free Smoking is in a separate area"
50,I enjoyed the exciting atmosphere. The beautiful surroundings in the Hotel and Casino lifted my enthusiasm to just relax and enjoy the moments. My visit from start to finish gave a feeling of being a tourist on vacation in my own hometown of New Orleans. Sharing this with friends and family makes sense to share a place for enjoying and building wonderful memories.
50,"Location for Harrah's is great for all attractions in New Orleans; French Quarter, National WW II Museum, Aquarium, and Riverwalk shops. Casino is a definite plus to our stay and the casino play is on par with Las Vegas."
50,"This Hotel exceded my expectations. Very nice room with comfortable beds, This is a hugh Hotel with nice restaurants and a gift shop. Very busy place but central location which makes it a easy walk to wherever you need to go"
50,The room was the greatest the desk clerk upgraded me to a suite when I checked in and the room was one of the nicest i have ever stayed in. The casino was a lot more than I expected very modern and the personnel were great. I have a lot of casinos close to my home but Harrah's New Orleans is above all of them.
40,Nice rooms and handy to get around New Orleans. Dragos has the best chargrilled oysters. Use a peddler to get over to Jackson Square. The Gazebo Café has the best Hurricanes in New Orleans by far. They also have an awesome Ice Cream Pina Calada.
50,Beautiful property with excellent customer service. Casino attached to property is very convenient. Close enough to walk and tour the city. Very close to cruise docks. Was able to access ride to ship very easily.
50,Employees were friendly and helpful. Casino is a little tight but fun. Convenient to a plethora of restaurants and bars. I recommend self parking as daily rate is $40 plus. Self parking is right there at the hotel so not really an inconvenience.
50,"Four Canadian retiree ladies wanted to go away for a few days so a trip to NOLA was arranged. I made the reservations at Harrah's New Orleans mainly because my husband and I had stayed there several times before with excellent results. Great staff, very clean rooms, and the location near the French Quarters and travel services were a plus. The ladies were extremely pleased with my choice. Thank you for making our trip such a success."
40,"The room was clean and furnished well. Traveling with my parent, I was able to get rooms that were side by side making it more comfortable for my Mom. she felt safer and at ease knowing we were right next door."
30,My girlfriend and I stayed at Harrahs NOLA from Nov 5-9. We had a nice time and we walked everywhere. The room was very nice and clean and the Casino was also rather nice and clean. Most employees were friendly with the exception of a few. The buffet was terrible however. $32 per person and had very few options and food quality was poor. My girlfriend was terribly sick within an hour of eating. We weren't even drinking and it was not even 5pm. We spent the rest of the night in the room with her being ill. The next night we went exploring. I leave my money in the room with the privacy setting on the door. We had to run back up for something and the maid was in our room. The next day I was missing $100 from my bag. I still can't believe it! I've never had someone…
50,Thank you so much for an incredible time in the big easy!!!! We were really looking forward to staying at Harrahs but they were full so they put us in the Hilton Riverside!!!! We had so much fun! Thank you❤️
50,"It’s always a nice stay at Harrah’s’s. Rooms are super nice and service and staff are as good as any hotel in the French Quarter area. Free parking if you gamble is a real plus too. Easy walking distance to all the French quarter bars,restaurants,shopping and entertainment. Rooms stays can be pricey if you’re not a rewards member but if you want a great hotel and great location you can’t go wrong. Don’t expect to get rich at the casino if you gamble on the machines. Very tight on the payoffs especially compared to some of the lesser known casinos in nearby Mississippi. I love New Orleans and a Harrah’s stay will ensure your visits will be great as well."
50,"Wow what a great place! Wonderful rooms, plenty of restaurants and perfect location. This resort has everything for visitors to New Orleans, we loved it all! The hotel is super clean and comfortable and the casino has many choices to play. Loved it 😊"
20,The place is a maze. Felt like when we reached our room there should have been cheese there. Lord help you if you park yourself and try to refind your car. Even the bellman got lost. The beds were nice. The ceiling had a hole in it where perhaps a smoke alarm might fit. All in all NOT a very pleasant trip.
50,"Very clean suite with beautiful views. Friendly and knowledgeable staff, especially in the hotel. Abundance of towels and toiletries. Best coffee in town is at the blue spot...on the way to the casino. Food quality and variety is excellent. No staff or service issues to distract from experience... Priceless. Relax and enjoy."
50,"I love stayiing and playing at Harrahs. I get treated like a Queen and wether its the hotel or casino, i feel like they really are happy to see me. I get hugs from all the emplyees and they feel like family to myself and my son. our rooms are great and often upgraded to a suite. the food is very good at the buffet, and the Steakhouse is special with its unique menu and fresh seafood and steaks. I cant wait to get bk there again"
50,"The rooms, location, and customer service is hard to beat here. Everyone and everything has been perfect. I’m picky and this stay was absolutely flawless. Our rooms were beautiful, quite, and spotless. 👍👍"
50,"while I did not stay overnight this trip, I have in the past. The rooms are nice and the staff are very attentive. They acknowledge you as soon as you walk up and it they are busy, they say someone will be with you shortly. Great food within the hotel and casino."
40,"The hotel is showing a little age; but still a great place to spend a couple of nights. Wonderful front desk staff, especially Mark at the Concierge desk. Convenient to downtown, adjacent casino, French Quarter and street car. Free parking if you gamble 30 minutes in casino daily; but parking machines don't work well and rules concerning in/out privileges are complicated. Too bad the parking problems taint the great job everyone else at the hotel is doing. Mark can fix anything!"
30,Room was nice clean and enjoyed the stay was very pleased with hotel and the room attendants were very nice and helpful over Erall a great experience as far as hotel it was a nice trip to take my brother for Halloween
50,Stayed here 4 nights mid October. Very friendly hotel with nice lobby and layout. Everyone was courtious at all hours. The room was very clean and accommodating with comfortable beds overlooking the river. The location is good and within walking distance of many activities with bars and good restaurants right there.
50,"Great staff makes for a great stay. From Michael greeting us at the door and providing directions to our next outing, to Mark at the concierge desk walking over to the casino to move our dinner reservation up 1 hour everyone seemed focused on making our stay special."
50,"Harrahs was a great place to stay. Great rooms, service and helpful people. Trolly ride from French quarter Casino was a good place for all of us to meet, eat and have some fun. Not our first visit and certainly not our last"
30,"Great hotel, casino not so much. No food comps. Hotel was really great with employee treaters and friendly staff. Casino not much interaction with staff. A slot perso n did come by and said hello but that as it"
50,"Great location, good value for the money. Restaurants are very good. The hotel staff was helpful. Casino tunnel is a great idea. No smoking in the casino except for one area. The hotel is within walking distance to all the top sites."
50,The room was plush. The front location was facing the casino. Just had to only cross the street to loss my 💰 won some though. Being there at Halloween was so much fun. There was enough excitement there at Harrah’s that we did not have to go far for fun.
10,"Stayed two nights at Harrah’s Hotel. Only went into casino one time. Casino was the dirtiest place I have ever been. Sorry service for attempting to get a drink order from a machine. Any other place we get complimentary juice, sodas and pretty sad whenever they want to charge for a bottle of water. I sure hope they enjoy our money spent because we have been in New Orleans Harrah’s for the last time. I would NOT recommend Harrah’s New Orleans to anyone...."
50,"Always have compted rooms. Dining choices on the property are excellent. Location of the property to other venues, restaurants, shopping selections, entertainment and sights is superior. The employees are courteous and friendly."
50,"We stayed at Harrah's Hotel for one night upon returning from a 7-day cruise. We were very happy with the accommodations, the staff and the location. Everyone was very friendly and helpful in guiding us to local places of interest and good places to eat."
50,"Harrah's is always accommodating, it's in a great location, rooms are fabulous...and gambling wasn't too bad either haha. Complimentary rooms is a very nice perk. We had the breakfast buffet. Dinner is probably better, but hey, it was free food, we have no complaints. Thank you!"
50,"Harrahs is nice, good games, lots of entertainment , I won a couple of thousand this trip, which was much needed given the fact that the last 10 trips was completely bonkers.... I was upgraded to a suite free of charge which was nice, beautiful hotel and great view!"
50,"Spent a few nights at Harrah's NOLA and was impressed. Rooms large, comfortable, and equipped with great amenities. Very close to several great restaurants and right across the street from the casino. Staff is very friendly and knowledge. Room service (eggs benedict) was very good and reasonable. Will definitely stay there any time in the area."
30,"Parking garage is difficult to get to due to one way streets. Valets are very helpful. Rooms are nice but short on drawer space. You must walk under or across the street to get to the casino. The casino is huge and the signage is not helpful. Dining choices are limited. The buffet is a 2 star and way overpriced. The concierge service is very poor, but the front desk people are very nice as are the floor people in the casino. The poker room is great: very short wait and a variety of games. Safety outside, forget it."
40,"Great hotel very close to the casino and the French Quarter. Trolly about 50 yds from casino entrance. Can park free in the casino garage with a players card and 30 min of play per day. Casino is non-smoking, however there are slots outside for smoking. Hotel has only a small coffee bar across the breeze way. Otherwise there are restaurants all over the place."
50,"The room was very nice, The people who work there were friendly and helpful. The reason we were there was because of my husband's birthday. We both had a memorable stay. So awesome :) We definitely would recommend the hotel to our friends and family."
50,The room was very nice and comfortable. The front desk staff were very friendly and helpful. The hotel is closed to all the attractions in New Orleans. The hotel is not far from the river walk and french quarters.
30,"My room was good, above avg. The maid service very good, and the hotel service was excellent. Casino service needs some work. Some of the employees not very friendly or helpful and basically acted uninterested in helping. Buffett was good not excellent and the service was also good. thx"
50,"The location is perfect walking distance to the French Quarter, Canal Street, and the beautiful river walk! The casino and the hotel were both immaculate, and the staff was more accommodating then you could even imagine! Highly recommend staying at this location!"
50,Great hotel! The service was terrific. The location was excellent. The casino was super. Mannings was a great to eat and it was very close to the hotel.. I plan to return and visit the great city of New Orleans!
50,"Rooms were great, best pillows,I have ever slept on !! Food was excellent,bartender named Wendy was the best bartender,funny lively Had us in stitches,introduced herself,and remembered our names She wasGREAT"
50,"Extremely friendly and helpful staff including the bellmen, conceirge, houskeeping, doormen, and front desk personnel. Clean and very well maintained property. Proximity to Casino through a tunnel is an added bonus in bad weather."
50,"This is a great place to go if you like to gamble and/or you simply need accommodations near French Quarter, Bourbon street and the like. The accommodations are clean and there are plenty of restaurants inside of the casino and then directly outside. You can walk to everywhere from this location. No complaints! Fun time!"
50,the beds were extremly soft and comfortable I slept almost as well as I did at home. the rooms were also exceptionally quite also. cleaning staff were very friendly and accomadating the front desk staff were friendly everyone seemed pleased working there and were always smiling great time
50,Stayed at the Hilton Riverside as Harrahs was booked. It was convenient. Enjoyed the service on the casino floor. Enjoy the fact you can order right from the machine that you are playing at which is very convenient.
50,"Room Maids Front Desk Waiters Slot Attendants were all great. Did have a rainy day, but the front desk came through with an umbrella. Harrah's New Orleans was close to everything Boubon Street & The Mississippi River Walk Etc."
50,"Had all my favorite slots, and of course table games. The Steakhouse was fabulous. Also ate at Fuddruckers. Stayed at Harrahs hotel and it has a cool passageway from hotel to casino underground that was bright, out of rain lol and staffed with friendly security!"
50,We had a wonderful trip to New Orleans. Harrah's is a top knotch establishment. The service was great. The rooms were spotless and pretty. Had a great time in the casino. Would highly recommend staying at Harrah's.
50,"Hotel is convenient to shopping at the Riverwalk, Canal Place & other retail stores. A wide variety of restaurant fare to choose from. You have upscale Ruth Chris Steakhouse & Harrah’s Steakhouse. Casual and delicious Grand Isle, Manning’s Sports-bar & Restaurant, & Gordon Biersch with an in house brewery. Fulton Alley has fun food and bowling. And there are a number of fast food venues nearby including McAllisters, Fuddruckers, & Lucky Dogs in the Casino. For seafood there’s Acme Oyster House in the casino and Dragos in the Hilton Hotel a block away. And for a huge variety The Harrah’s Buffet is always open The aquarium & insectarium are in close walking distance also. There is no need for a vehicle to enjoy all these amenities and if you wish to to venture further out, Uber &…"
50,"I find Harrahs New Orleans to be a top-notch hotel destination. The hotel is very well maintained, the front desk staff is very courteous and equally efficient and the rooms are spacious and clean with comfortable bedding. The ambiance and excitement in the casino is incomparable. I'm always thrilled when the mardi gras floats and second line bands come in the casino on the weekends & people stop gambling to party down & have a ton of fun!!!"
50,"Everything about this place is great. The people are terrific. It would be nice if they had a pool area but there is so much to do in New Orleans, it was not an issue. I highly recommend visiting New Orleans and staying at Harrahs."
30,"The Casino has changed and both of our favorite Hosts have left, no one could explain why. Room was great, people in hotel very helpful and polite. My host just talked to me 1and 1/2 days before we came, I get there and he is gone, no one knew why( which I do not believe)"
50,"Once again, Harrah's New Orleans provided me an amazing time! My Casino Host, the fantastic staff in the VIP office, the friendly folks in the buffet and hotel all together set the stage for me to have nother short of a great time."
50,"Great location and great river view from my room ,center of everything and everywhere I needed to be with pretty updated rooms and very friendly staff.i will surely return and stay there again,I feel it greatly enhanced my trip"
50,"Hi everyone, if you are looking for an incredible stay in NOLA please stay at this hotel. Staff are super friendly and helpful. Rooms are incredibly clean and modern. Cleaning staff do an amazing job. Front desk is very helpful. The location is perfect to get to anywhere in the city!."
50,the rooms were great . the staff was top gun. Make sure to try Mannings and the other eatery in the casino . good food . Ask staff what is going on outside the hotel and they are happy to help . Visit the WWII museum
50,This is a great casino for gaming and quality service. Our room was delightful and the casino is in an ideal location to visit other places in New Orleans. The buffet was excellent with foods native to New Orleans. I highly recommend it!
50,Great Place to stay. Near the French Quarter and all the action! Staff is always so friendly and accommodating. Property is clean and well kept. Great restaurants nearby as well. We stay here every time we come into New Orleans!
50,"We love Harrah’s New Orleans. Their no smoking policy lets us go in regular clothes and stay longer without burning eyes and needing a bath as soon as e leave. We love Acme food, their great service and variety of slots."
40,"Convenient. close to everything walking distance. Fun! Can make money while on vacation! ;) However, the minimum on the tables are a little high for people on a budget, so make sure you bring enough cash to play!"
50,"The front desk employees & ladies were very accommodating. They welcomed us when we arrived. Our room is very clean & have enough toiletries & towels. Enjoyed the coffee in the morning at our room.Our room have a good view.,fronting the Harrah's casino."
50,"Had some business meetings in New Orleans and I am so glad I Picked Harrah's New Orleans. Rooms were great, the choice of Restaurants right on the property was amazing, and having the Casino killed the little bit of free time I had. Along with being convenient to the French Quarter now going to have a book a trip for fun."
50,"Rooms at the Harrah's New Orleans are spacious and very clean. The large bathrooms with deep soaking tubes are an added bonus. The beds are nice and comfortable. Front desk staff are super friendly and answered my questions. Play 30 min a day in the Casino and garage parking is free. The Casino is pretty nice. Walking distance to many attractions in NOLA. And most important, not haunted!"
50,The Harrah is a big and beautiful place to visit. That staff is friendly and they were very helpful. It was our first time and we didn’t know what to expect. I am looking forward to visiting again soon.
10,Hotel was very nice but the host and some of the staff was so rude . I've stayed at many harrahs properties and usually they are incredibly nice and helpful but the staff I interacted with acted like you always bothering them. Didnt honor the promotions I had which was new for me at a harrahs resort as well.
50,"A wonderful break from heat or cold to have some grown up fun!!!! Wonderfully decorated with a New Orleans atmosphere. The food is good and the rooms are luxurious!!! The staff is incredibly helpful, and personable."
50,"Harrah's New Orleans is a fabulous place to stay. Rooms are exceptional as is the service. Location is probably one of the best in the city - easily walkable to all that New Orleans has to offer - French Quarter, Bourbon Street, river front. Doesn't get much better."
30,Good location for the city. Everything’s walking distance. Wear comfortable shoes. If your going there to gamble you will be disappointed. They don’t comp like they do in Atlantic City or Connecticut . Hotel staff not that friendly.
40,My husband and I just love this place. The hotel is beautiful and the rooms are comfortable. The casino is smoke free and it’s wonderful! The only reason I gave it a 4/5 is because we would love for this property to have a spa!
50,First tie to stay at Harrah's and was very pleased. Nice room; nice value; great service. Would stay here again. A little further to the French Quarter but closer to the Casino end of the area. Upgrade to a suite.
30,They are working on improving this property. I visited in July and October and the remodeling team is still working in the area between the lobby and casino. Staff was very friendly. My issues are: The room type I had reserved was not available and the room I was assigned was not as clean as I would have hoped.
40,Really love Harrah’s hotel & casino. The staff are friendly & helpful. Had a great room with a nice view. I would highly recommend it for anyone looking for a place to with a wide variety of things to do!
50,"Room was excellent. At $42 a night to valet park, you will want to use the self park garage for sure. It will be be free if you play for at least 30 minutes a day in the casino which was no problem for us. Do beware depending on your room location, you will get a loud 5:30-6 am wake up call from very loud train horn from the tracks between the hotel and the river."
50,"Heavenly bed large accommodations, friendly staff great trip. Located in the heart of the French quarter. It's only a short distance from the ruby slipper restaurant and well very close to bourbon st."
20,"I was in room 1215, cleaning service did not do a good job (toilet paper low, did not leave extra roll [2 nights], ice bucket water and cup not emptied for 2 nights, cups in bathroom not replaced, found a ear phone set left in bathroom by maid.) Homeless woman claiming to be maid service tried entering room, security called. Fire alarm went off on two separate days [first time could not enter hotel, second time we were to checkout and had to evacuate, walked down 12 flights with luggage.] I think their system was malfunctioning."
50,I love staying at Harrahs New Orleans. The people who work in the hotel and casino are extremely helpful and friendly. I especially appreciated the personal attention I got from Grachelle at the caesars rewards desk. She went out of her way to be of assistance. The rooms are fabulous. The casino offers a lot of options. The Laurel Lounge is a great place to relax and have a drink and a bite to eat.
50,Beautiful large rooms. Hotel in perfect location to walk to most areas. Only one block from Riverwalk outlet shopping. Very large location with lots of stores. Nice riverwalk pathway lining the Missippi river. River cruises locted right there. The casino is across the street but you can also get there by a tunnel connecting the hotel and casino. There are plenty of restaurants right next to the hotel and several places to eat in the casino.
30,"The Harrah's New Orleans is nice, but quite set back from the initial entrance into the casino off Canal. This makes for a longer walk to reach the edge of the French Quarter than one might otherwise think. The rooms are really nice and well appointed, and in fact are reasonably priced, at least compared to most hotel rooms around he FQ. But unless you're a high roller in the Caesar's chain, which owns Harrah's, then parking is a freaking ripoff, up to $55 per day, altho we managed to get it priced down to $30, but only because that's what we were quoted at check in. If you don't mind the expensive parking or the long walk to reach the FQ, then you might like this hotel. We didn't and it's why we only stayed there one night."
10,We arrived after a long flight to find out they have overbooked and gave no room available. Desk not very helpful. Finally transferred us to the Hilton The Hilton was amazing and met all our expectations
50,"My friend and I had an excellent experience at Harrah's recently. Ms Luvonda Lanier was extremely helpful, pleasant and cordial. She is an excellent host and represents your company in a very professional manner"
50,"Location is great easy to get to everything. People are so nice and very helpful. Lots of machines to choose from and great food. The buffet is excellent, the food to choose from is extremely beneficial to the customer."
50,"love the solts you got to try them and win ,also the food court has alot to offer, and in overall the staff is really helpfull and freindly no matter who you are ,they will take care of you like VIP thank you"
40,"The location was great. You can easier walk to where everything is happening. Rooms are a really good size and the staff is good. Buffet not the best in a city where there is so much good food.This hotel connects to shops and food, and is across the street from the casino."
10,We arrived after a long flight to find out they have overbooked and gave no room available. Desk not very helpful. Finally transferred us to the Hilton The Hilton was amazing and met all our expectations
50,"My friend and I had an excellent experience at Harrah's recently. Ms Luvonda Lanier was extremely helpful, pleasant and cordial. She is an excellent host and represents your company in a very professional manner"
50,"Location is great easy to get to everything. People are so nice and very helpful. Lots of machines to choose from and great food. The buffet is excellent, the food to choose from is extremely beneficial to the customer."
50,"love the solts you got to try them and win ,also the food court has alot to offer, and in overall the staff is really helpfull and freindly no matter who you are ,they will take care of you like VIP thank you"
40,"The location was great. You can easier walk to where everything is happening. Rooms are a really good size and the staff is good. Buffet not the best in a city where there is so much good food.This hotel connects to shops and food, and is across the street from the casino."
50,Excellent customer service all around from the minute we arrived as guests until we checked out. This is definitely Team Work and that take effort and motivation and compassion for people. And they have it all here I would totally recommend Harrah’s New Orleans to anyone visiting. There for work conference but it was great and the best food ever!!!
40,My stay was comfortable. The rooms were neat and clean. The Staff were all friendly and helpful. I’ll definitely stay here again. There is an underground pedestrian tunnel connecting the hotel to the Casino. It has security stationed at the entrance and is quite safe to navigate alone.
50,We love staying at Harrah’s. They are consummate professionals and always make us feel most welcome. The rooms are lovely and The French Quarter and the trolleys are within easy walking distance. The casino is clean and lots of fun.
50,Fun place to stay. Nice rooms and friendly staff. Non smoking casino too. Convenient location. Close to everything. Within walking distance of Bourbon St. and a short ride to Magazine St and the Garden district.
